title,sentimen
"Harimau Terkam 2 Sapi di Siak, PTPN V Imbau Warga-Karyawan Waspada",Negatif
2.500 Anak Yatim Dapat Santunan di HUT ke-250 Banyuwangi,Negatif
Polda Sumut Bantu Polres Buru Pelaku Penembakan Pelajar di Sergai,Negatif
"Erick Thohir Mau Bikin Klaster Pangan, Ini Kata Buwas",Netral
Keistimewaan 2 Cagar Budaya Nasional di Surabaya: Gedung PTPN XI dan NIAS,Netral
"Lahan Markaz Syariah dari Perjanjian Oper Garap Disebut Tak Sah, Ini Kata Tim HRS",Negatif
Polisi Tangkap Pelaku Begal Payudara di Pasaman Barat,Negatif
Seperti Ini Kondisi Rest Area Gunung Mas yang Jadi Tempat Relokasi PKL Puncak,Negatif
Geber Transformasi PTPN dari 'Gelap' Jadi Untung,Negatif
Nusron Wahid ke Bos PTPN: Pabrik Gula Dapat PMN Kok Malah Modar?,Netral
KPPU Dorong Kebijakan Baru buat Ciptakan Persaingan Sehat di Industri Gula,Netral
"Bantah Petani Milenial Gimmick, Ridwan Kamil: Evaluasi Butuh Setahun",Negatif
"PTPN Sudah Terima Surat dari Markaz Syariah, What's Next?",Netral
"Kota Mati Tommy Soeharto di Karawang, Perumahan Korban Runtuhnya Orba",Negatif
"Ibu Hamil Ditandu Lewati Hutan Pandeglang, Begini Penjelasan Puskesmas",Netral
"Petani Tebu Juga Bisa Sukses Kelola Lahan, Begini Caranya",Positif
"Mayat Tanpa Identitas Ditemukan di Sumur PTPN II Medan, Tim SAR Evakuasi",Negatif
Asyiknya Keliling Kota Lama Surabaya Naik Mobil Klasik,Positif
Petani Tebu Situbondo Akui Ada Pengadaan Lahan PTPN XI Ratusan Hektare,Netral
Mantap! Dheo Wakili Riau di Kompetisi Bola Internasional di Malaysia,Positif
"RI Bakal Punya Acuan Harga CPO Sendiri, Holding Perkebunan Ungkap Untungnya",Negatif
"Harimau Berkeliaran di Aceh Timur, Lagi-lagi Mangsa Sapi Warga",Negatif
"Nekat Tabrak Polisi karena Bawa Sabu, Sipir Rutan Pekanbaru Terancam Dipecat",Negatif
PTPN III Mau Genjot Produksi Gula dan Sawit,Netral
"Heboh Kabar Kebun Teh Sidamanik Akan Dikonversi, DPRD Sumut Menolak",Negatif
"Erick Thohir: Swasta Jangan Ngakali BUMN, Harus Win-win",Netral
"Tak Terima 'Digoyang', Mafia Tanah Serang Balik Menteri Sofyan Djalil",Negatif
Hunian Tetap untuk 66 Korban Banjir Kalibaru Banyuwangi Mulai Dibangun,Negatif
Fakta-fakta Sejauh Ini Bungkusan Pipa-Jam Dekat Denpom Solo,Positif
7 Dapen BUMN Mau Dilaporkan ke Kejaksaan Awal Tahun Depan,Positif
"Acungkan Kapak, Pelaku Begal Payudara Incar Korban Sendirian di Pasaman",Negatif
69 Hektare Lahan PTPN I Terkena Pembangunan Tol Indralaya-Muara Enim Diganti Rugi,Negatif
Erick Thohir Kebut Holding Rumah Sakit Tahun Ini,Netral
Mendag Siapkan Izin Impor Gula 200 Ribu Ton,Negatif
Jejak Pembengkakan Biaya Kereta Cepat dari 2016-2021: Naik Rp 34 Triliun,Negatif
DPRD Jabar Usul Jutaan Hektar Lahan Tidur Milik Pusat Dikelola Warga,Positif
