title,Sentimen
dkp pekanbaru apresiasi ptpn iv atas pelatihan pengolahan pangan kepada umkm dan kampung pangan,positif
"lebaran 2025, ptpn iv gelar program mudik bersama bumn",positif
"nimo highland, wisata baru ala santorini di pangalengan",netral
kondisi terkini deni yang tersengat listrik saat bikin konten di sutet,negatif
siapakah penguasa mega proyek batang jadi pusat pabrik dunia,netral
"video menuju swasembada gula 2028, ri dihadang persoalan ini",netral
holding bumn perkebunan dapat pengakuan internasional gegara ini,positif
"ribuan ton gula impor masuk ri, harga langsung turun",netral
"sempat ditutup, ini kondisi terkini lokasi benda mencurigakan dekat denpom solo",netral
ada oknum di ptpn iv regional iii riau terindikasi tak peduli lingkungan,negatif
pj gubernur sulsel minta bpn urus aset tanah warga terdampak banjirlongsor,negatif
warga cianjur serbu operasi pasar minyak goreng bumn,netral
erick thohir raih penghargaan the most influential minister,positif
ptpn iv palmco perdana kapalkan 10 ribu ton cpo harga premium,positif
"ledakan impor gula sudah bikin waswas, jokowi turunkan bumn",negatif
alasan usulan bbm pertalite dihapus  muncul pertamax green,netral
"lagi disorot tajam publik, komisaris bumn dapat gaji segini",netral
ptpn janji utang ke karyawan  pensiunan lunas tahun depan,positif
"erick thohir pamer temuan besar harta karun ri, segini jumlahnya",netral
kronologi awal mula arh minta bantuan mayor dedi untuk bebas dari tahanan,netral
"soal efisiensi transformasi ptpn, dirut tak selalu kurangi hak orang",netral
"ptpn iv palmco targetkan penjualan 120.000 mt cpo bersertifikat internasional, berpeluang raih pendapatan tambahan usd3,6 juta premium price",positif
"disinggung dpr saat raker dengan kapolri, ini kata sentul city",netral
"pemerintah impor 200 ribu ton gula tahun ini, begini penjelasannya",netral
"migor murah tak perlu dmodpo, pengusaha kasih tanggung jawab ke bumn",netral
"erick geram utang jumbo ptpn rp 77 t, begini rinciannya",netral
batu diduga yoni ditemukan di kompleks asrama kodim klaten,netral
"sederet bumn ini buka lowongan kerja besarbesaran, sikat",positif
"bos holding perkebunan ptpn 35 sehat, lainnya ada beban",netral
pelukan pria tanah laut ke jasad istri yang ia bunuh pakai pemotong sawit,negatif
"lestarikan danau toba, erick thohir  bumn targetkan tanam 460 ribu pohon",positif
sejarah panjang penamaan jember sebagai kota tembakau,netral
ptpn v targetkan integrasi penuh digitalisasi eplantation 2023,positif
"bos sawit usul ri punya tanker raksasa migor, apa itu",netral
holding pangan  ptpn dikerahkan buat kerja sama bareng frisian flag,positif
holding bumn perkebunan siap produksi minyakita 3 juta liter per bulan,positif
"dendam pernah dipergoki nyuri sawit, pria di sergai hajar sekuriti perkebunan",negatif
"sudah sepekan, pelaku pembunuhan pensiunan ptpn v belum tertangkap",negatif
"pensiunan tni dibacok di areal perkebunan di siantar, pelaku ditangkap",negatif
"3 wisata antimainstream yang menantang nyali di jabar, berani",netral
"inovasi green energy, pertamina jawab tantangan masa depan",positif
"diperiksa 4 jam, dahlan iskan sebut akan ada tersangka baru kasus ptpn vi",negatif
ptpn iv palmco regional iii sediakan 400 kursi gratis untuk mudik bersama bumn 2025,positif
"palmco ipo kuartal iv, jadi perusahaan sawit terbesar dunia",positif
"119 pabrik relokasi dari china, jokowi tak mau ri gagal lagi",netral
petani tebu situbondo akui ada pengadaan lahan ptpn xi ratusan hektare,netral
"ikuti titah jokowi, bumn keroyokan bangun batang",netral
ini pr besar holding perkebunan usai restrukturisasi jumbo,netral
erick thohir buktikan kalau bumn itu tidak bobrok,netral
"balik kampung, alumni unri promosi sevp business support ptpn iv regional iii",netral
"punya lahan 2,4 juta hektar, begini nasib bisnis perhutani",negatif
"biar minyak goreng terjangkau, bumn diminta turun tangan",negatif
pucuk...pucuk..pucuk... intip langsung proses pucuk daun menjadi teh di sini,netral
"stabilkan harga pangan, operasi pasar besarbesaran digelar jelang ramadan",positif
"jokowi naikkan harga pertalite, erick thohir buruburu balik dari belanda",netral
bankjatim siap beri kredit ke petani tebu binaan sgn,positif
"berkat langkah holding perkebunan, industri sawit ri diramal bisa makin moncer",positif
"bentuk palmco, holding perkebunan kejar produksi minyak goreng 1,8 juta ton",positif
"konsolidasi palmco kelar, minyak goreng murah di depan mata",positif
"6 sekolah pariwisata rekomendasi kemenparekraf, buat yang suka traveling nih",netral
bos holding perkebunan beberkan rahasia bikin buntung jadi untung,netral
akibat langgar standards of sustainability ptpn iv manajemen kebun terantam terancam dipecat,negatif
taman gizi ptpn v mendukung pemerintah dalam memerangi stunting,positif
"nekat panjat sutet buat selfie, pria garut kesetrum hingga gosong",negatif
erick angkat eks dirut pln zulkifli zaini jadi komut ptpn iii,netral
ptpn iv regional iii berikan bantuan bagi para korban terdampak bencana banjir di kabupaten kampar,positif
begini alur distribusi gula yang jadi celah ladang korupsi,negatif
"petani hingga pebisnis kopi kumpul di jiexpo kemayoran, ada apa nih",netral
strategi jokowi pencapaian swasembada gula dalam 5 tahun,positif
motif remaja hujat jokowi di tiktok kesal pernah ditangkap curi sawit,negatif
"begini kondisi taman lili suheri, tempat relokasi merdeka walk",netral
"setelah direksi, erick bongkar  pangkas komisaris ptpn",negatif
geger penemuan mayat pria di kebun karet bandung barat,negatif
respons mendag soal minyak makan merah,netral
"usai lapak pkl dibongkar, kini vila liar di puncak disasar",negatif
keluarga korban duga oknum tni terlibat kasus remaja ditembak di sergai,negatif
"sugar co bakal kedatangan investor anyar, wilmar group masuk",netral
"dipecat pdip, segini harta kekayaan budiman sudjatmiko",netral
apa kabar bumn holding pangan ini penjelasan bos rni,netral
erick thohir siapkan bumn antisipasi dampak ekonomi  geopolitik,netral
"pabrik migor anak usaha bumn mau ipo, begini rencananya",netral
erick thohir copot dirut berdikari buntut pistolnya meletus di bandara,negatif
"pertamina siap produksi biofuel, suplai cpo harus aman",netral
"penyelesaian koperasi iyo basamo terantang, pemkab kampar dan forkopimda saksikan penandatangan mou koperasi dan ptpn v.",positif
pria di deli serdang rampokbunuh pacar gegara kesal sering dimarahi,negatif
jurus ptpn pastikan pembentukan tiga subholding bumn perkebunan bisa mulus,positif
"holding rs bumn ipo, bos pertamedika kasih bocoran ini",netral
bambang budi santoso mengemban amanah sebagai senior executive vice president sevp business support ptpn iv regional iii,netral
sejarah rs pemerintah pertama di medan dan pergantian nama dari masa ke masa,netral
peneliti jerman jejaki kerjasama alihkan batu bara ke biomassa bumn asal riau,positif
pemkab bogor minta pkl puncak pindah ke rest area gunung mas sebelum 24 juni,netral
"pastikan kestabilan harga minyak goreng dan gula, ptpn regional i gelar pasar murah untuk ribuan masyarakat",positif
kebakaran kebun tebu di mojokerto tewaskan seorang petani,negatif
"perkuat bisnis, pelindo 1 tingkatkan kerjasama dengan bumn",positif
menteri bumn erick laporkan 4 dapen ini ke kejagung,negatif
tak ada yang abadi gonjangganjing cpo pun hanya sementara,netral
mind id teken proyek perdagangan karbon,positif
andre rosiade bongkar modal migor kemasan oligarki untung banyak,negatif
"wuih ribuan ton gula impor siap masuk, harga balik rp12.500",positif
"nasib swasembada gula di tangan bumn pangan, ini tugasnya",netral
bey prioritas keselamatan warga terdampak bencana di sukabumi,positif
"seirama gubernur jabar, ahy minta setop pembangunan tak sesuai tata ruang",netral
erick thohir prediksi fao akan ada kesulitan pangan di dunia,netral
ptpn iv regional iii bantu atasi persoalan sampah di pagaran tapah,positif
"palmco garap kebun sawit terluas di dunia, ini strateginya",netral
kebun terantam ptpn iv regional iii catat produksi optimal,positif
"viral pria telanjang dada hujat jokowi di riau, polisi turun tangan",negatif
slurpp istimewanya kopi ijen dengan cita rasa kacang dan cokelat,netral
"harga impor tinggi, stok gula di dalam negeri aman",negatif
"divonis 16 bulan penjara soal kuasai lahan ptpn di binjai, samsul tarigan banding",negatif
"diskriminasi eropa  el nino, gimana nasib produksi ptpn iii",netral
kemenko pangan proyeksi padi di areal psr ptpn iv regional iii  riau pos,netral
klaim pj gubernur sulsel budi daya pisang akan serap 400.000 tenaga kerja,positif
bos holding bumn perkebunan ungkap penyebab ri sulit swasembada gula,netral
pengusaha sarankan bumn kuasai kebun sawit ri biar minyak goreng murah,netral
"erick thohir ingin bumn diisi milenial, holding perkebunan lakukan hal ini",netral
kementerian bumn resmikan tiga ptbg limbah sawit ptpn v,positif
sah eks ceo ptpn v riau ditunjuk jadi dirut palmco,netral
bongkar silu ekonomi ri hingga balada proyek kereta cepat,netral
"penuhi pasokan gula, pabrik milik bumn siap genjot produksi",netral
"dukung prabowodiultimatum pdip, budiman sudjatmiko punya properti di jaktim rp 1,5 m",netral
kereta cepat dan masa depan transpotasi di indonesia,netral
tamu tasyakuran pernikahan kaesang di solo akan diangkut busandong,netral
"menko zulhas kebut produksi gula di sumut, targetkan naik 100 tahun 2027",netral
ini alasan kenapa bumn perlu disuntik hingga rp 152 t,netral
"ptpn iii sudah restrukturisasi utang rp 36 t, ini rinciannya",positif
penampakan nonik bergaun eropapesta di rumah peninggalan meneer,netral
"kantor digeledah bareskrim, hutama karya buka suara",netral
banjir campur lumpur dan material terjang sempol bondowoso,negatif
"ipo rp 10t, palmco bakal jadi perusahaan sawit terbesar dunia",positif
heboh pembangunan lokasi hiburan rusak kebun teh puncak,negatif
menteri atr minta korban mafia tanah lapor kami tak segan untuk gebuk,netral
"india cs setop ekspor gula, ri bidik pasokan dari brasil",netral
inilah wajah pembunuh pensiunan ptpn v riau,netral
dedi mulyadi instruksikan wisata hibisc fantasy di puncak bogor dibongkar,negatif
dpn fkppn ingatkan meneg bumn jangan seret ptpn gabung ke danantara,netral
bumn ini sulap rugi jadi untung,positif
mengintip kinerja anak usaha ptpn yang digabung jadi palmco,netral
"video setelah 25 tahun rugi, ini cara ptpn bikin bisnis teh jadi cuan",positif
8 bangunan peninggalan kolonial belanda di surabaya,netral
kpk tetapkan 3 tersangka korupsi pembelian lahan ptpn xi rugikan rp 30 m,negatif
"palmco akan jadi raja dunia, harga minyak goreng masih mahal",netral
erick thohir bakal sikat pegawai nakal di bumn pangan,negatif
erick bawa gajah bumn menari lewat eternitas transformasi,netral
"direstui jokowi, erick kurangi jumlah bumn",netral
"bumn geber produksi kopi rakyat, begini caranya",positif
"deklarasi dukung prabowo, segini harta budiman sudjatmiko",netral
erick thohir tunjuk budiman sudjatmiko jadi komisaris ptpn v,netral
"ikut jokowi sidak kereta cepat, sri mulyani ingatkan ini",netral
ahli hukum pengambilalihan sepihak kkpa tindakan wanprestasi,negatif
"akhirnya uang negara rp 6,9 t buat tambal proyek kereta cepatlrt jabodebek",positif
lahan warpat puncak bakal disulap jadi anjungan pandang,positif
